"","Estimate","Std. Error","Lower","Upper"
"model_cal_7.e:1:0.3",69.8958290581103,4.47105343403772,60.7885912379271,79.0030668782936
"model_cal_7.e:1:0.4",72.5225732081091,5.70116743343075,60.9096751663051,84.135471249913
"model_cal_7.e:1:0.5",75.1761252495803,7.01888225240356,60.8791299558391,89.4731205433214
"model_cal_7.e:1:0.6",77.9619491102005,8.46612557592526,60.7170156346779,95.206882585723
"model_cal_8.e:1:0.2",55.495112393308,78.4358603345135,-104.92423416902,215.914458955636
"model_cal_8.e:1:0.3",62.9046018833126,97.9270358984248,-137.378674702339,263.187878468964
"model_cal_8.e:1:0.4",68.581279636308,113.638326776938,-163.835194770248,300.997754042864
"model_cal_8.e:1:0.5",73.364668133814,127.349788240792,-187.094893695577,333.824229963205
"model_cal_8.e:1:0.6",77.6175298447496,139.876704616682,-208.462452681128,363.697512370627
"model_cal_9.e:1:0.2",63.4811696070109,2.44889856091463,58.4929264735324,68.4694127404894
"model_cal_9.e:1:0.3",66.4726850633478,3.51890808091876,59.3049038607532,73.6404662659425
"model_cal_9.e:1:0.4",69.765856298267,5.05409568142991,59.4710002837247,80.0607123128092
"model_cal_9.e:1:0.5",73.9888035022571,7.2834153703102,59.1529718802025,88.8246351243118
"model_cal_9.e:1:0.6",80.8566742626542,11.2786042033687,57.8829092931233,103.830439232185
"model_cal_10.e:1:0.2",63.7144425583115,3.2390291472194,57.1388638067074,70.2900213099155
"model_cal_10.e:1:0.3",67.1010736345408,4.68671543877812,57.5865354648241,76.6156118042576
"model_cal_10.e:1:0.4",70.9268027560333,6.74657441403405,57.2305285495719,84.6230769624947
"model_cal_10.e:1:0.5",75.7974786151215,9.69918066253396,56.1070950545789,95.4878621756641
"model_cal_10.e:1:0.6",83.2332828384714,14.6574489759731,53.4770794644235,112.989486212519
"model_cal_11.e:1:0.2",59.8425648063115,8.52625915736247,42.3165881068546,77.3685415057685
"model_cal_11.e:1:0.3",63.499029259851,14.53625188423,33.6193355842883,93.3787229354136
"model_cal_11.e:1:0.4",66.733051989416,20.3536323705327,24.8955614684714,108.57054251036
"model_cal_11.e:1:0.5",69.9742867234421,26.5060625036907,15.4902949445978,124.458278502286
"model_cal_11.e:1:0.6",73.4860689348928,33.479277977177,4.66842746829751,142.303710401488
"model_cal_12.e:1:0.2",65.9700348013466,1.19788001820458,63.5450534834265,68.3950161192667
"model_cal_12.e:1:0.3",67.3522036697123,1.86581191252047,63.5750649230484,71.1293424163761
"model_cal_12.e:1:0.4",69.0772829076168,3.39488569877458,62.2046961118694,75.9498697033643
"model_cal_12.e:1:0.5",71.7852764569762,6.11946733926407,59.3970624891201,84.1734904248323
"model_cal_12.e:1:0.6",86.7832419093401,23.390227310339,39.4322022497153,134.134281568965
"model_cal_13.e:1:0.2",64.9080957995586,2.21335342655783,60.3584826731479,69.4577089259693
"model_cal_13.e:1:0.3",66.3527047044203,2.53393711781184,61.1441223630882,71.5612870457524
"model_cal_13.e:1:0.4",67.6237562345489,3.18849757320932,61.0697056077758,74.177806861322
