species,pop,province,location,old_pop,lat,long,seed_mass,elevation,BIO_01,BIO_05,BIO_12,aridity_index,annual_burnedarea_ha,annual_number_fires,burned_area_percent,dormancy_release,Estimate,Std..Error,Lower,Upper
CSA,11,Barcelona,Garraf II,9,41.297602,1.872988,1.106,385,150,268,691,0.829245136,236.2758621,1.896551724,0.89692086,40,75.83736247,1.265750994,73.28112648,78.39359846
CSA,11,Barcelona,Garraf II,9,41.297602,1.872988,1.106,385,150,268,691,0.829245136,236.2758621,1.896551724,0.89692086,50,78.40051898,1.763400654,74.83925911,81.96177885
CSA,11,Barcelona,Garraf II,9,41.297602,1.872988,1.106,385,150,268,691,0.829245136,236.2758621,1.896551724,0.89692086,60,81.54911059,2.517972259,76.46396245,86.63425873
CSA,2,Valencia,Benicolet,2,38.92775,-0.314389,0.957,392,159,269,637,0.747396518,522.3333333,15.86111111,1.662846471,20,69.69170181,2.039342929,65.56326789,73.82013573
CSA,2,Valencia,Benicolet,2,38.92775,-0.314389,0.957,392,159,269,637,0.747396518,522.3333333,15.86111111,1.662846471,30,73.01751289,1.682810821,69.61084048,76.42418529
CSA,2,Valencia,Benicolet,2,38.92775,-0.314389,0.957,392,159,269,637,0.747396518,522.3333333,15.86111111,1.662846471,40,76.35072441,2.117779331,72.06350429,80.63794453
CSA,2,Valencia,Benicolet,2,38.92775,-0.314389,0.957,392,159,269,637,0.747396518,522.3333333,15.86111111,1.662846471,50,83.00881366,4.28291462,74.33850629,91.67912102
CSA,3,Valencia,Carcaixent,1,39.107848,-0.414571,0.88,201,171,289,735,0.775020031,399.7777778,9.277777778,1.272691257,20,75.79117112,2.184712559,71.40919265,80.17314959
CSA,3,Valencia,Carcaixent,1,39.107848,-0.414571,0.88,201,171,289,735,0.775020031,399.7777778,9.277777778,1.272691257,30,80.51165388,3.118554934,74.25662481,86.76668295
CSA,3,Valencia,Carcaixent,1,39.107848,-0.414571,0.88,201,171,289,735,0.775020031,399.7777778,9.277777778,1.272691257,40,86.49018412,5.093612046,76.27369215,96.70667608
CSA,3,Valencia,Carcaixent,1,39.107848,-0.414571,0.88,201,171,289,735,0.775020031,399.7777778,9.277777778,1.272691257,50,96.71448494,9.216723981,78.22807772,115.2008922
CSA,4,Valencia,Dos Aguas,3,39.300432,-0.788097,1.083,778,136,279,637,0.626806371,1856.472222,9.194444444,5.910073291,20,69.23170496,1.583160146,66.0267648,72.43664512
CSA,4,Valencia,Dos Aguas,3,39.300432,-0.788097,1.083,778,136,279,637,0.626806371,1856.472222,9.194444444,5.910073291,30,72.15057636,2.126614064,67.84547126,76.45568146
CSA,4,Valencia,Dos Aguas,3,39.300432,-0.788097,1.083,778,136,279,637,0.626806371,1856.472222,9.194444444,5.910073291,40,75.27316717,3.179246856,68.83711839,81.70921595
CSA,4,Valencia,Dos Aguas,3,39.300432,-0.788097,1.083,778,136,279,637,0.626806371,1856.472222,9.194444444,5.910073291,50,79.17986312,4.764199458,69.53524555,88.8244807
CSA,4,Valencia,Dos Aguas,3,39.300432,-0.788097,1.083,778,136,279,637,0.626806371,1856.472222,9.194444444,5.910073291,60,85.30154559,7.531465917,70.05488994,100.5482012
CSA,5,Tarragona,Ermita de sant roc,6,40.987378,0.882237,1.055,118,160,287,524,0.553540405,172.9655172,1.103448276,0.857581027,20,69.25291955,1.640306014,65.9471,72.5587391
CSA,5,Tarragona,Ermita de sant roc,6,40.987378,0.882237,1.055,118,160,287,524,0.553540405,172.9655172,1.103448276,0.857581027,30,71.88292169,1.78676934,68.2819247,75.48391868
CSA,5,Tarragona,Ermita de sant roc,6,40.987378,0.882237,1.055,118,160,287,524,0.553540405,172.9655172,1.103448276,0.857581027,40,74.7838902,2.556968915,69.63065796,79.93712244
CSA,5,Tarragona,Ermita de sant roc,6,40.987378,0.882237,1.055,118,160,287,524,0.553540405,172.9655172,1.103448276,0.857581027,50,78.56102108,3.976718568,70.54647143,86.57557073
CSA,5,Tarragona,Ermita de sant roc,6,40.987378,0.882237,1.055,118,160,287,524,0.553540405,172.9655172,1.103448276,0.857581027,60,85.06865978,6.84182825,71.27986097,98.85745858
CSA,6,Tarragona,Tivissa II,4,41.002028,0.671214,1.093,148,162,295,574,0.577738281,267.6206897,0.724137931,0.851969597,20,74.36078003,4.429754361,65.44926372,83.27229634
CSA,6,Tarragona,Tivissa II,4,41.002028,0.671214,1.093,148,162,295,574,0.577738281,267.6206897,0.724137931,0.851969597,30,79.98250739,7.281161846,65.33469911,94.63031566
CSA,6,Tarragona,Tivissa II,4,41.002028,0.671214,1.093,148,162,295,574,0.577738281,267.6206897,0.724137931,0.851969597,40,86.09731957,10.99940729,63.96936631,108.2252728
CSA,6,Tarragona,Tivissa II,4,41.002028,0.671214,1.093,148,162,295,574,0.577738281,267.6206897,0.724137931,0.851969597,50,93.53396527,15.99753833,61.35106928,125.7168613
CSA,6,Tarragona,Tivissa II,4,41.002028,0.671214,1.093,148,162,295,574,0.577738281,267.6206897,0.724137931,0.851969597,60,103.9078226,23.60624326,56.41818663,151.3974585
CSA,7,Tarragona,Tarragona ,7,41.229922,1.412922,1.161,245,154,282,645,0.690715045,141.7241379,1.655172414,0.466520089,20,70.06043968,1.220104642,67.60148035,72.51939902
CSA,7,Tarragona,Tarragona ,7,41.229922,1.412922,1.161,245,154,282,645,0.690715045,141.7241379,1.655172414,0.466520089,30,73.39329808,1.468807359,70.43311135,76.3534848
CSA,7,Tarragona,Tarragona ,7,41.229922,1.412922,1.161,245,154,282,645,0.690715045,141.7241379,1.655172414,0.466520089,40,76.79488056,1.99203001,72.78020787,80.80955325
CSA,7,Tarragona,Tarragona ,7,41.229922,1.412922,1.161,245,154,282,645,0.690715045,141.7241379,1.655172414,0.466520089,50,80.64469621,2.751067449,75.10028408,86.18910835
CSA,7,Tarragona,Tarragona ,7,41.229922,1.412922,1.161,245,154,282,645,0.690715045,141.7241379,1.655172414,0.466520089,60,85.48917384,3.838758239,77.75266496,93.22568272
CSA,8,Barcelona,Canyelles I,11,41.259764,1.692788,1.013,182,158,280,631,0.708914188,88.48275862,1.206896552,0.332017856,20,71.32189439,1.197945135,68.90259511,73.74119367
CSA,8,Barcelona,Canyelles I,11,41.259764,1.692788,1.013,182,158,280,631,0.708914188,88.48275862,1.206896552,0.332017856,30,72.56406099,1.001208481,70.54207944,74.58604254
CSA,8,Barcelona,Canyelles I,11,41.259764,1.692788,1.013,182,158,280,631,0.708914188,88.48275862,1.206896552,0.332017856,40,73.67582802,0.938163592,71.78116821,75.57048783
CSA,8,Barcelona,Canyelles I,11,41.259764,1.692788,1.013,182,158,280,631,0.708914188,88.48275862,1.206896552,0.332017856,50,74.79045966,1.010587827,72.74953614,76.83138318
CSA,8,Barcelona,Canyelles I,11,41.259764,1.692788,1.013,182,158,280,631,0.708914188,88.48275862,1.206896552,0.332017856,60,76.11015787,1.243460184,73.59893908,78.62137666
CSA,9,Barcelona,Canyelles III,8,41.262878,1.687627,1.098,261,156,279,660,0.743319844,87.51724138,1.103448276,0.319452626,20,65.92733262,1.829267959,62.23305104,69.62161421
CSA,9,Barcelona,Canyelles III,8,41.262878,1.687627,1.098,261,156,279,660,0.743319844,87.51724138,1.103448276,0.319452626,30,70.13117187,2.61301205,64.85408698,75.40825676
CSA,9,Barcelona,Canyelles III,8,41.262878,1.687627,1.098,261,156,279,660,0.743319844,87.51724138,1.103448276,0.319452626,40,74.42076462,3.970906732,66.40135579,82.44017345
CSA,9,Barcelona,Canyelles III,8,41.262878,1.687627,1.098,261,156,279,660,0.743319844,87.51724138,1.103448276,0.319452626,50,79.35017752,5.817657337,67.60118017,91.09917486
CSA,9,Barcelona,Canyelles III,8,41.262878,1.687627,1.098,261,156,279,660,0.743319844,87.51724138,1.103448276,0.319452626,60,85.74551217,8.467070741,68.64591591,102.8451084
