species,population,heat_treatment,replicate,total_seeds,germinated_seeds,empty_seeds
CSA,10,55,III,25,5,
CSA,10,60,I,24,6,
CSA,10,60,II,25,7,
CSA,10,60,III,25,3,
CSA,10,65,I,25,8,
CSA,10,65,II,24,2,
CSA,10,65,III,25,10,
CSA,10,70,I,25,7,
CSA,10,70,II,25,13,
CSA,10,70,III,25,16,
CSA,10,75,I,25,16,
CSA,10,75,II,25,23,
CSA,10,75,III,25,18,
CSA,10,80,I,25,18,
CSA,10,80,II,25,16,
CSA,10,80,III,25,15,1
CSA,10,85,I,25,21,
CSA,10,85,II,25,17,
CSA,10,85,III,25,18,
CSA,10,90,I,25,25,
CSA,10,90,II,25,16,
CSA,10,90,III,25,23,1
CSA,10,95,I,25,24,
CSA,10,95,II,25,23,
CSA,10,95,III,25,22,
CSA,10,100,I,25,22,
CSA,10,100,II,25,22,
CSA,10,100,III,25,23,1
CSA,10,105,I,25,18,
CSA,10,105,II,25,21,
CSA,10,105,III,25,19,
CSA,10,110,I,25,14,
CSA,10,110,II,24,17,
CSA,10,110,III,25,15,
CSA,10,115,I,25,15,
CSA,10,115,II,25,16,
CSA,10,115,III,25,10,
CSA,10,120,I,25,11,
CSA,10,120,II,25,11,
CSA,10,120,III,25,5,
CSA,11,30,I,25,5,
CSA,11,30,II,25,3,
CSA,11,30,III,25,2,
CSA,11,35,I,25,8,
CSA,11,35,II,25,4,
CSA,11,35,III,25,8,
CSA,11,40,I,25,8,
CSA,11,40,II,25,3,
CSA,11,40,III,25,2,
CSA,11,45,I,25,4,
CSA,11,45,II,25,1,
CSA,11,45,III,25,3,
CSA,11,50,I,25,4,
CSA,11,50,II,25,3,
CSA,11,50,III,25,1,
CSA,11,55,I,25,3,
CSA,11,55,II,25,6,
CSA,11,55,III,25,3,
CSA,11,60,I,25,4,
CSA,11,60,II,25,3,
CSA,11,60,III,25,5,
CSA,11,65,I,25,6,
CSA,11,65,II,25,5,
CSA,11,65,III,25,2,
CSA,11,70,I,25,6,
CSA,11,70,II,25,5,
